CCTV4K,rtp://239.125.1.214:4120
CCTV1HD,rtp://239.125.2.66:4120
CCTV2HD,rtp://239.125.2.65:4120
CCTV3HD,rtp://239.125.2.52:4120
CCTV4HD,rtp://239.125.2.64:4120
CCTV4欧洲HD,rtp://239.125.2.196:4120
CCTV4美洲HD,rtp://239.125.2.197:4120
CCTV5HD,rtp://239.125.2.54:4120
CCTV5+HD,rtp://239.125.1.57:5000
CCTV6HD,rtp://239.125.2.56:4120
CCTV7HD,rtp://239.125.2.63:4120
CCTV8HD,rtp://239.125.2.58:4120
CCTV9HD,rtp://239.125.2.62:4120
CCTV10HD,rtp://239.125.2.61:4120
CCTV11HD,rtp://239.125.1.101:4120
CCTV12HD,rtp://239.125.2.60:4120
CCTV13HD,rtp://239.125.1.53:4120
CCTV14HD,rtp://239.125.2.59:4120
CCTV15HD,rtp://239.125.1.102:4120
CCTV16 4K,rtp://239.125.2.218:4120
CCTV16HD,rtp://239.125.2.206:4120
CCTV17HD,rtp://239.125.2.204:4120
CETV1HD,rtp://239.125.1.204:4120
CETV4HD,rtp://239.125.1.110:4120
CGTNHD,rtp://239.125.2.198:4120
CGTN俄语HD,rtp://239.125.2.203:4120
CGTN法语HD,rtp://239.125.2.201:4120
CGTN纪录HD,rtp://239.125.2.199:4120
CGTN西语HD,rtp://239.125.2.200:4120
CGTN阿语HD,rtp://239.125.2.202:4120
东南卫视HD,rtp://239.125.2.77:4120
东方卫视4K,rtp://239.125.1.235:4120
东方卫视HD,rtp://239.125.2.82:4120
云南卫视HD,rtp://239.125.1.231:4120
兵团卫视HD,rtp://239.125.1.229:4120
内蒙农牧HD,rtp://239.125.1.73:4120
内蒙卫视HD,rtp://239.125.1.59:5000
内蒙古蒙古语卫视HD,rtp://239.125.1.66:5000
内蒙古蒙语文化HD,rtp://239.125.1.71:4120
内蒙少儿HD,rtp://239.125.1.69:4120
内蒙文体HD,rtp://239.125.1.72:4120
内蒙经济HD,rtp://239.125.1.74:4120
内蒙蒙语HD,rtp://239.125.1.70:4120
北京卫视4K,rtp://239.125.2.105:4120
北京卫视HD,rtp://239.125.2.73:4120
卡酷少儿HD,rtp://239.125.1.127:4130
吉林卫视HD,rtp://239.125.2.191:4120
四川卫视4K,rtp://239.125.1.236:4120
四川卫视HD,rtp://239.125.2.79:4120
天津卫视HD,rtp://239.125.2.81:4120
宁夏卫视HD,rtp://239.125.1.230:4120
安徽卫视HD,rtp://239.125.2.78:4120
山东卫视4K,rtp://239.125.1.237:4120
山东卫视HD,rtp://239.125.2.75:4120
山东教育卫视HD,rtp://239.125.1.178:4130
山西卫视HD,rtp://239.125.1.226:4120
广东卫视4K,rtp://239.125.1.224:4120
广东卫视HD,rtp://239.125.2.71:4120
广西卫视HD,rtp://239.125.1.225:4120
新疆卫视HD,rtp://239.125.1.228:4120
旅游卫视HD,rtp://239.125.2.189:4120
未识别HD,rtp://239.125.1.212:4120
未识别HD,rtp://239.125.1.213:4120
杭锦旗HD,rtp://239.125.2.212:4120
江苏卫视4K,rtp://239.125.1.233:4120
江苏卫视HD,rtp://239.125.2.69:4120
江西卫视HD,rtp://239.125.2.101:4129
河北卫视HD,rtp://239.125.2.70:4120
河南卫视HD,rtp://239.125.1.215:4120
浙江卫视4K,rtp://239.125.1.234:4120
浙江卫视HD,rtp://239.125.2.68:4120
深圳卫视4K,rtp://239.125.1.223:4120
深圳卫视HD,rtp://239.125.2.76:4120
湖北卫视HD,rtp://239.125.2.74:4120
湖南卫视4K,rtp://239.125.1.232:4120
湖南卫视HD,rtp://239.125.2.67:4120
甘肃卫视HD,rtp://239.125.2.190:4120
西藏卫视HD,rtp://239.125.1.227:4120
贵州卫视HD,rtp://239.125.2.80:4120
辽宁卫视HD,rtp://239.125.2.72:4120
鄂尔多斯新闻HD,rtp://239.125.2.165:4154
鄂尔多斯经济HD,rtp://239.125.2.164:4153
鄂尔多斯蒙语HD,rtp://239.125.2.162:4151
重庆卫视HD,rtp://239.125.2.102:4130
金鹰纪实HD,rtp://239.125.2.106:4134
黑龙江卫视HD,rtp://239.125.2.83:4120
CCTV1SD,rtp://239.125.1.177:4130
CCTV2SD,rtp://239.125.1.118:4130
CCTV4SD,rtp://239.125.1.141:4130
CCTV7SD,rtp://239.125.1.131:4130
CCTV9SD,rtp://239.125.1.142:4130
CCTV10SD,rtp://239.125.1.143:4130
CCTV11SD,rtp://239.125.1.134:4130
CCTV12SD,rtp://239.125.1.161:4130
CCTV14SD,rtp://239.125.1.162:4130
CCTV15SD,rtp://239.125.1.163:4130
CETV1SD,rtp://239.125.1.139:4130
CETV2SD,rtp://239.125.1.29:5000
CGTNSD,rtp://239.125.1.140:4130
三沙卫视SD,rtp://239.125.1.180:4130
东南卫视SD,rtp://239.125.1.164:4130
东方卫视SD,rtp://239.125.1.116:4130
云南卫视SD,rtp://239.125.1.160:4130
优购物SD,rtp://239.125.1.220:4120
优购物SD,rtp://239.125.1.138:4130
兵团卫视SD,rtp://239.125.1.135:4130
内蒙古卫视SD,rtp://239.125.2.194:4120
北京卫视SD,rtp://239.125.1.176:4130
吉林卫视SD,rtp://239.125.2.205:4120
嘉佳卡通SD,rtp://239.125.2.213:4120
四川卫视SD,rtp://239.125.1.175:4130
天津卫视SD,rtp://239.125.1.153:4130
央广购物SD,rtp://239.125.2.14:4120
好享购物SD,rtp://239.125.1.219:4120
好享购物SD,rtp://239.125.44.2:5000
宁夏卫视SD,rtp://239.125.1.157:4130
安徽卫视SD,rtp://239.125.1.173:4130
家有购物SD,rtp://239.125.1.217:4120
家有购物SD,rtp://239.125.1.137:4130
山东卫视SD,rtp://239.125.1.149:4130
山西卫视SD,rtp://239.125.1.119:4130
广东卫视SD,rtp://239.125.1.154:4130
广西卫视SD,rtp://239.125.1.167:4130
扎鲁特SD,rtp://239.125.1.222:4120
新疆卫视SD,rtp://239.125.1.123:4130
旅游卫视SD,rtp://239.125.1.165:4130
时尚购物SD,rtp://234.1.3.187:5000
时尚购物SD,rtp://239.125.1.216:4120
未知节目SD,rtp://239.125.2.195:4120
江苏卫视SD,rtp://239.125.1.172:4130
江西卫视SD,rtp://239.125.1.174:4130
河北卫视SD,rtp://239.125.1.169:4130
河南卫视SD,rtp://239.125.1.156:4130
浙江卫视SD,rtp://239.125.1.159:4130
深圳卫视SD,rtp://239.125.1.166:4130
湖北卫视SD,rtp://239.125.1.152:4130
湖南卫视SD,rtp://239.125.1.170:4130
甘肃卫视SD,rtp://239.125.1.151:4130
聚鲨环球SD,rtp://239.125.1.136:4130
聚鲨精选SD,rtp://239.125.1.221:4120
西藏卫视SD,rtp://239.125.1.117:4130
贵州卫视SD,rtp://239.125.1.158:4130
